x,y,z
1.573104970157146454e-02,-4.722190797328948975e-01,-3.516082838177680969e-02
3.481445461511611938e-02,-4.648613035678863525e-01,-3.773269802331924438e-02
2.727661095559597015e-02,-4.847816526889801025e-01,-4.604797437787055969e-02
3.577117994427680969e-02,-4.838844239711761475e-01,-7.793273776769638062e-02
1.055221557617187500e-01,-4.764663875102996826e-01,-5.274811014533042908e-02
1.450035125017166138e-01,-4.773635864257812500e-01,-2.146148681640625000e-02
2.333587706089019775e-01,-4.846618771553039551e-01,-6.148147583007812500e-02
2.861206233501434326e-01,-4.978225827217102051e-01,-8.624725788831710815e-02
2.006965726613998413e-01,-4.570243954658508301e-01,-2.828140370547771454e-02
2.338371276855468750e-01,-4.776626527309417725e-01,-3.689575195312500000e-02
2.355125397443771362e-01,-4.572639465332031250e-01,-4.162139818072319031e-02
1.683937162160873413e-01,-4.576828181743621826e-01,-2.935867384076118469e-02
2.504074275493621826e-01,-4.879516661167144775e-01,-3.432312235236167908e-02
2.289321869611740112e-01,-4.932167232036590576e-01,-1.020401045680046082e-01
2.015937864780426025e-01,-4.820297360420227051e-01,-6.196060404181480408e-02
1.653427183628082275e-01,-4.650405943393707275e-01,-2.020263811573386192e-03
9.942092746496200562e-02,-4.772438108921051025e-01,-2.355575561523437500e-02
6.083602830767631531e-02,-4.827476441860198975e-01,-5.454254150390625000e-02
-7.797241560183465481e-04,-4.634857177734375000e-01,-7.296752929687500000e-02
-6.502685695886611938e-02,-4.467956721782684326e-01,-9.013595432043075562e-02
-9.154510684311389923e-03,-4.672538936138153076e-01,-1.249511763453483582e-01
-5.096893385052680969e-02,-4.806541502475738525e-01,-1.406242400407791138e-01
-1.537551917135715485e-02,-4.728172421455383301e-01,-1.802261322736740112e-01
