x,y,z
-3.710937453433871269e-03,-4.934554994106292725e-01,-5.429840181022882462e-03
2.446517907083034515e-02,-4.898666441440582275e-01,-4.802246019244194031e-02
2.823409996926784515e-02,-4.720397889614105225e-01,-6.542968750000000000e-02
4.289016872644424438e-02,-4.773635864257812500e-01,-1.577911339700222015e-02
5.144424363970756531e-02,-4.834053218364715576e-01,-7.356567680835723877e-02
3.882217407226562500e-02,-4.823890626430511475e-01,-3.115310706198215485e-02
3.918075561523437500e-02,-4.750305116176605225e-01,-4.521026834845542908e-02
2.189331129193305969e-02,-4.704841673374176025e-01,-3.701553493738174438e-02
4.115524515509605408e-02,-4.822090268135070801e-01,-7.703552395105361938e-02
3.660888597369194031e-02,-4.722793698310852051e-01,-1.571884192526340485e-02
6.897125393152236938e-02,-4.941734373569488525e-01,-1.183708235621452332e-01
3.421554714441299438e-02,-4.705444276332855225e-01,-3.791275247931480408e-02
7.154388725757598877e-02,-4.802353084087371826e-01,-9.504089504480361938e-02
4.731674119830131531e-02,-4.876533448696136475e-01,-7.422333210706710815e-02
9.689331054687500000e-03,-4.838241636753082275e-01,-6.446838378906250000e-04
1.262054499238729477e-02,-4.746116697788238525e-01,-3.563919290900230408e-02
4.348831251263618469e-02,-4.952499568462371826e-01,-8.660659939050674438e-02
-6.282806396484375000e-03,-4.928573668003082275e-01,-8.654632419347763062e-02
6.697845645248889923e-03,-4.859779477119445801e-01,-1.853103749454021454e-02
2.344818226993083954e-02,-4.734756648540496826e-01,-3.887024149298667908e-02
2.763595618307590485e-02,-4.727577269077301025e-01,-4.604797437787055969e-02
2.123489417135715485e-02,-4.651001095771789551e-01,-5.920867994427680969e-02
-2.275085542351007462e-03,-4.744926393032073975e-01,-2.780303917825222015e-02
4.348831251263618469e-02,-4.757484495639801025e-01,-5.418395996093750000e-02
3.493423387408256531e-02,-4.787399470806121826e-01,-4.323654249310493469e-02
3.768615797162055969e-02,-4.752700924873352051e-01,-5.238876491785049438e-02
-1.148681621998548508e-02,-4.696472287178039551e-01,-4.963760450482368469e-02
2.201232872903347015e-02,-4.800560176372528076e-01,-3.115310706198215485e-02
-2.004165761172771454e-02,-4.756889343261718750e-01,-5.334625393152236938e-02
2.996902540326118469e-02,-4.897468686103820801e-01,-4.981689527630805969e-02
-1.956329308450222015e-02,-4.629471004009246826e-01,-1.242904644459486008e-02
2.165374718606472015e-02,-5.053596496582031250e-01,-1.295578032732009888e-01
-7.120513822883367538e-03,-4.999160766601562500e-01,-1.338577270507812500e-02
5.082702729851007462e-03,-5.023086667060852051e-01,-5.651703104376792908e-02
2.428588829934597015e-02,-4.636054933071136475e-01,-3.043518029153347015e-02
-2.416916005313396454e-02,-4.853797852993011475e-01,-6.471252441406250000e-02
1.489334087818861008e-02,-4.603149592876434326e-01,-4.437332227826118469e-02
-2.155303955078125000e-03,-4.920196533203125000e-01,-1.211830154061317444e-01
-5.445098970085382462e-03,-4.603744447231292725e-01,-5.113296583294868469e-02
-1.621322706341743469e-02,-4.896270930767059326e-01,-1.140045151114463806e-01
6.877136416733264923e-03,-4.606140255928039551e-01,-5.010986234992742538e-03
-2.315216138958930969e-02,-4.680320918560028076e-01,-4.162139818072319031e-02
