x,y,z
-1.986236684024333954e-02,-4.496071040630340576e-01,-5.484161525964736938e-02
-2.979202382266521454e-02,-4.384803771972656250e-01,-9.408416599035263062e-02
-3.607330471277236938e-02,-4.450607299804687500e-01,-6.387481838464736938e-02
-3.027114830911159515e-02,-4.366859495639801025e-01,-2.738418616354465485e-02
-1.561508234590291977e-02,-4.283111691474914551e-01,-4.239883646368980408e-02
-2.004165761172771454e-02,-4.405143857002258301e-01,-1.661605946719646454e-02
-3.290252760052680969e-02,-4.737144410610198975e-01,-2.134246937930583954e-02
-2.201614342629909515e-02,-4.663566648960113525e-01,3.243713453412055969e-02
-7.178650051355361938e-02,-5.163070559501647949e-01,-8.965759724378585815e-02
-3.744888305664062500e-02,-4.896865785121917725e-01,-1.052108779549598694e-01
1.174926801468245685e-04,-5.015312433242797852e-01,-7.476196438074111938e-02
-4.032058641314506531e-02,-4.632461667060852051e-01,-4.263839870691299438e-02
-2.351150475442409515e-02,-5.056587457656860352e-01,-7.248916476964950562e-02
-5.270385742187500000e-02,-4.649810791015625000e-01,-5.125274881720542908e-02
-2.177658118307590485e-02,-5.069152712821960449e-01,-6.991653889417648315e-02
-1.184616144746541977e-02,-4.694076478481292725e-01,-6.662597507238388062e-02
3.517303615808486938e-02,-4.342330992221832275e-01,-1.356582622975111008e-02
6.459045689553022385e-03,-4.742530882358551025e-01,-1.594680845737457275e-01
-2.993011614307761192e-03,-5.769645571708679199e-01,-2.290389984846115112e-01
-4.253463819622993469e-02,-5.280914306640625000e-01,-7.482147216796875000e-02
-6.604385375976562500e-02,-5.468155145645141602e-01,4.296493530273437500e-02
-3.110885620117187500e-02,-4.256187379360198975e-01,-1.582717895507812500e-01
5.461502075195312500e-02,-3.433059751987457275e-01,2.516792416572570801e-01
-5.629272386431694031e-02,-3.748314082622528076e-01,-1.037750244140625000e-01
-5.617294460535049438e-02,-4.479324519634246826e-01,-4.574890062212944031e-02
-4.935378953814506531e-02,-5.146316885948181152e-01,9.712219471111893654e-04
-1.082916278392076492e-02,-5.968254208564758301e-01,-5.896911770105361938e-02
5.676803737878799438e-02,-5.481910705566406250e-01,8.795013278722763062e-02
-8.987426990643143654e-04,-5.006340146064758301e-01,-1.434326171875000000e-02
-4.642257839441299438e-02,-4.622291624546051025e-01,-1.647323668003082275e-01
-3.338165208697319031e-02,-4.271140992641448975e-01,4.912719875574111938e-02
-3.990173339843750000e-02,-3.710624873638153076e-01,-3.025588952004909515e-02
-1.076965313404798508e-02,-4.289688169956207275e-01,-1.099365279078483582e-01
-8.436584845185279846e-03,-4.844222962856292725e-01,-7.290802150964736938e-02
-2.309265173971652985e-02,-4.829269349575042725e-01,-7.392425835132598877e-02
-3.320160135626792908e-02,-4.990188777446746826e-01,-1.709518395364284515e-02
-4.181594774127006531e-02,-4.658187925815582275e-01,-1.099319476634263992e-02
-8.496093563735485077e-03,-4.829872250556945801e-01,-3.695526346564292908e-02
-6.101837381720542908e-02,-4.760475158691406250e-01,-4.467239603400230408e-02
-1.824722252786159515e-02,-4.583412110805511475e-01,-1.254882849752902985e-02
-5.593414232134819031e-02,-4.718604981899261475e-01,-5.591812357306480408e-02
4.468460008502006531e-02,-5.144523978233337402e-01,-9.187088161706924438e-02
-3.272323682904243469e-02,-4.853797852993011475e-01,-4.628753662109375000e-02
-3.685150295495986938e-02,-4.478126466274261475e-01,3.387222439050674438e-02
-1.776885986328125000e-02,-4.789787232875823975e-01,-6.513061374425888062e-02
-8.416900783777236938e-02,-5.452003479003906250e-01,-2.407638579607009888e-01
5.036773905158042908e-02,-4.609130918979644775e-01,5.223770067095756531e-02
-1.896514929831027985e-02,-3.261970579624176025e-01,-1.126289367675781250e-01
-1.676940941251814365e-03,-4.525383114814758301e-01,-4.150161892175674438e-02
6.113510206341743469e-02,-4.733558595180511475e-01,-9.222946316003799438e-02
5.611038208007812500e-02,-4.822090268135070801e-01,-6.172103807330131531e-02
-2.010116539895534515e-02,-5.456787347793579102e-01,-8.361587673425674438e-02
-2.674179151654243469e-02,-5.337745547294616699e-01,-3.695526346564292908e-02
-2.524566650390625000e-02,-4.613914489746093750e-01,-5.047531053423881531e-02
1.297912653535604477e-02,-4.148513972759246826e-01,-4.317703470587730408e-02
2.990875206887722015e-02,-4.359680116176605225e-01,-1.545623838901519775e-01
-2.464752271771430969e-02,-4.762275815010070801e-01,-8.666610717773437500e-02
-1.557159470394253731e-03,-4.989593625068664551e-01,-9.994659572839736938e-02
3.230209276080131531e-02,-4.672538936138153076e-01,-1.894912682473659515e-02
1.501312293112277985e-02,-4.426078796386718750e-01,-7.823181152343750000e-02
-3.804779052734375000e-02,-4.551704525947570801e-01,-8.858032524585723877e-02
-7.136764377355575562e-02,-5.103248953819274902e-01,-3.013610839843750000e-02
