x,y,z
5.142975132912397385e-03,-4.905838072299957275e-01,-4.096374660730361938e-02
1.112441997975111008e-02,-4.558883607387542725e-01,5.876159761101007462e-03
-1.818695105612277985e-02,-4.842430055141448975e-01,1.084136962890625000e-02
-3.380050882697105408e-02,-4.678520262241363525e-01,1.640472374856472015e-02
-8.339156955480575562e-02,-4.818504452705383301e-01,-2.211990393698215485e-02
-1.292144805192947388e-01,-4.610328674316406250e-01,2.053298987448215485e-02
-1.753952056169509888e-01,-4.682708680629730225e-01,-2.558975294232368469e-02
-2.273796051740646362e-01,-4.637245237827301025e-01,-5.310669168829917908e-02
-1.993240416049957275e-01,-4.908828735351562500e-01,-3.156280610710382462e-03
-1.805999726057052612e-01,-4.639640748500823975e-01,-6.626892369240522385e-03
-1.666023284196853638e-01,-4.479324519634246826e-01,-7.003631442785263062e-02
-1.676788330078125000e-01,-4.617508053779602051e-01,-7.500153034925460815e-02
-2.037506103515625000e-01,-4.613922238349914551e-01,-8.271789550781250000e-02
-2.034515440464019775e-01,-4.731163084506988525e-01,-1.140640303492546082e-01
-1.718666106462478638e-01,-4.588790833950042725e-01,-8.355560153722763062e-02
-1.016967818140983582e-01,-4.651001095771789551e-01,-7.422409206628799438e-02
-6.430893391370773315e-02,-4.544525146484375000e-01,-1.428375244140625000e-01
-1.465759333223104477e-02,-4.555892944335937500e-01,-1.824989318847656250e-01
2.450561616569757462e-03,-4.746719300746917725e-01,-1.731666624546051025e-01
6.915130466222763062e-02,-4.566658139228820801e-01,-1.872245818376541138e-01
7.100524753332138062e-02,-4.723991453647613525e-01,-1.623992919921875000e-01
8.859252929687500000e-02,-4.681510925292968750e-01,-2.002059966325759888e-01
7.956009358167648315e-02,-4.525383114814758301e-01,-1.954803466796875000e-01
4.229202494025230408e-02,-4.348312318325042725e-01,-2.152809202671051025e-01
6.604080647230148315e-02,-4.677925109863281250e-01,-2.362777739763259888e-01
8.452530205249786377e-02,-4.697067439556121826e-01,-3.581916987895965576e-01
1.145545989274978638e-01,-4.661171138286590576e-01,-2.442337125539779663e-01
7.052689045667648315e-02,-4.395568966865539551e-01,-2.844329774379730225e-01
