x,y,z
4.724121186882257462e-03,-4.823288023471832275e-01,-1.261482238769531250e-01
3.707122756168246269e-03,-3.839836120605468750e-01,-2.648696862161159515e-02
-4.576415941119194031e-02,-5.021293759346008301e-01,-2.051109373569488525e-01
-3.493728861212730408e-02,-5.009331107139587402e-01,-1.748420745134353638e-01
-2.321167103946208954e-02,-4.581611752510070801e-01,-6.614837795495986938e-02
5.082702729851007462e-03,-4.694076478481292725e-01,-1.406250000000000000e-01
-5.282287672162055969e-02,-4.801155030727386475e-01,-5.250854417681694031e-02
-3.798751905560493469e-02,-4.587593078613281250e-01,-7.715453952550888062e-02
-8.650207519531250000e-02,-4.446418881416320801e-01,-4.515075683593750000e-02
-5.838699266314506531e-02,-4.499664306640625000e-01,-7.685623317956924438e-02
-1.926422119140625000e-02,-4.837646484375000000e-01,-6.901931762695312500e-02
-1.036109924316406250e-01,-4.600753784179687500e-01,-2.433319203555583954e-02
-1.244880706071853638e-01,-3.937347531318664551e-01,1.058364883065223694e-01
4.165649588685482740e-04,-5.806739926338195801e-01,-1.759185791015625000e-01
-3.074951283633708954e-02,-4.934554994106292725e-01,-7.201004028320312500e-02
1.411590632051229477e-02,-4.934554994106292725e-01,-8.917923271656036377e-02
2.749633742496371269e-03,-4.595970213413238525e-01,-4.239883646368980408e-02
2.602081373333930969e-02,-4.792778193950653076e-01,-1.119102463126182556e-01
-1.915741013363003731e-03,-4.804748594760894775e-01,-1.024589538574218750e-01
3.589096292853355408e-02,-5.130172967910766602e-01,-1.269851773977279663e-01
-1.860580407083034515e-02,-5.045822262763977051e-01,-8.487167209386825562e-02
1.746597327291965485e-02,-4.924385249614715576e-01,-1.256691068410873413e-01
2.739639393985271454e-02,-5.191184878349304199e-01,-1.260879486799240112e-01
4.420623928308486938e-02,-4.974037110805511475e-01,-1.187896728515625000e-01
3.385696560144424438e-02,-4.756889343261718750e-01,-1.278831511735916138e-01
5.617065355181694031e-02,-4.858581721782684326e-01,-1.288398802280426025e-01
3.469467163085937500e-02,-4.490684568881988525e-01,-6.202011182904243469e-02
4.881210252642631531e-02,-4.612724483013153076e-01,-5.878982692956924438e-02
6.556167453527450562e-02,-4.518203735351562500e-01,-6.698532402515411377e-02
7.878265529870986938e-02,-4.666557312011718750e-01,-6.608810275793075562e-02
6.382675468921661377e-02,-5.016509890556335449e-01,-6.979675590991973877e-02
1.064796447753906250e-01,-4.893279969692230225e-01,-6.644668430089950562e-02
8.404693752527236938e-02,-4.776626527309417725e-01,-6.237945705652236938e-02
5.975952371954917908e-02,-4.789787232875823975e-01,-5.053482204675674438e-02
1.018730178475379944e-01,-4.953697323799133301e-01,-5.753326416015625000e-02
