x,y,z
2.207260206341743469e-02,-4.911224544048309326e-01,7.383270561695098877e-02
3.846359252929687500e-02,-4.917205870151519775e-01,3.530807420611381531e-02
4.582137987017631531e-02,-4.794578552246093750e-01,1.766128651797771454e-02
2.099533192813396454e-02,-4.579223692417144775e-01,-3.395843552425503731e-03
3.571167215704917908e-02,-4.564865231513977051e-01,-4.000625759363174438e-02
9.390259161591529846e-03,-4.514617919921875000e-01,-5.490188673138618469e-02
4.582137987017631531e-02,-4.454796016216278076e-01,-1.025192290544509888e-01
2.570342971011996269e-03,-4.552902281284332275e-01,-9.252853691577911377e-02
8.612060919404029846e-03,-4.828071594238281250e-01,-9.659653156995773315e-02
1.387634314596652985e-02,-4.822097718715667725e-01,-8.983688801527023315e-02
-4.727173130959272385e-03,-4.497268795967102051e-01,-7.003631442785263062e-02
1.973953284323215485e-02,-4.291488826274871826e-01,-1.882415860891342163e-01
2.141418494284152985e-02,-4.106040894985198975e-01,-2.481224089860916138e-01
3.288269042968750000e-03,-4.427871704101562500e-01,-2.863472104072570801e-01
8.911132812500000000e-03,-4.539741575717926025e-01,-3.173942565917968750e-01
-1.208572369068861008e-02,-4.422492980957031250e-01,-3.284011781215667725e-01
-1.860580407083034515e-02,-4.424285888671875000e-01,-3.137451112270355225e-01
-2.638244628906250000e-02,-4.220298826694488525e-01,-2.996872067451477051e-01
-2.566452138125896454e-02,-4.106040894985198975e-01,-3.284614682197570801e-01
-2.081909216940402985e-02,-4.433860778808593750e-01,-3.661483824253082275e-01
8.792114444077014923e-03,-4.592979550361633301e-01,-3.462875485420227051e-01
