x,y,z
1.531219482421875000e-02,-4.825080931186676025e-01,-1.449317932128906250e-01
1.734619215130805969e-02,-4.764663875102996826e-01,-8.271789550781250000e-02
1.579132117331027985e-02,-4.870552122592926025e-01,-1.525886505842208862e-01
1.674804650247097015e-02,-4.502052366733551025e-01,-9.025573730468750000e-02
3.134460374712944031e-02,-5.357490777969360352e-01,-2.266464233398437500e-01
-2.034072950482368469e-02,-3.985801637172698975e-01,-1.380523741245269775e-01
8.851624093949794769e-03,-4.602554440498352051e-01,1.210022019222378731e-03
2.989196917042136192e-03,-4.234649837017059326e-01,-1.643135100603103638e-01
8.493042550981044769e-03,-4.904045164585113525e-01,-1.208831816911697388e-01
1.561126764863729477e-02,-4.886100888252258301e-01,-1.827980130910873413e-01
2.368774451315402985e-02,-4.948913753032684326e-01,-1.613227874040603638e-01
6.346817314624786377e-02,-4.940536618232727051e-01,-1.780723631381988525e-01
1.148376520723104477e-02,-4.744926393032073975e-01,-1.486404389142990112e-01
2.613983117043972015e-02,-4.448211789131164551e-01,-1.154403686523437500e-01
1.710662804543972015e-02,-4.045021235942840576e-01,-1.720306426286697388e-01
3.218231350183486938e-02,-4.344123899936676025e-01,-1.484016478061676025e-01
1.776504516601562500e-02,-4.513420164585113525e-01,-1.772346496582031250e-01
6.227188184857368469e-02,-4.012123048305511475e-01,-1.385902464389801025e-01
1.435546856373548508e-02,-4.455390870571136475e-01,-1.209434494376182556e-01
3.361740335822105408e-02,-4.780815243721008301e-01,-1.970352232456207275e-01
-6.701660342514514923e-03,-4.940536618232727051e-01,-4.993667826056480408e-02
2.793502807617187500e-02,-4.441635310649871826e-01,-9.821166843175888062e-02
6.578826811164617538e-03,-4.791587889194488525e-01,-1.449317932128906250e-01
4.133453592658042908e-02,-4.450607299804687500e-01,-1.475639343261718750e-01
3.104553185403347015e-02,-4.455390870571136475e-01,-1.172943115234375000e-01
2.596054039895534515e-02,-4.612121582031250000e-01,-1.613823026418685913e-01
4.755630716681480408e-02,-4.536148011684417725e-01,-1.536056548357009888e-01
4.737625271081924438e-02,-4.790985286235809326e-01,-1.642539948225021362e-01
2.883224561810493469e-02,-4.712623655796051025e-01,-1.404449492692947388e-01
3.750610351562500000e-02,-4.633056819438934326e-01,-1.187896728515625000e-01
3.864288330078125000e-02,-4.304649531841278076e-01,-1.133460998535156250e-01
2.344818226993083954e-02,-4.768257141113281250e-01,-1.420005857944488525e-01
1.507339533418416977e-02,-4.532562196254730225e-01,-1.420600861310958862e-01
1.429519709199666977e-02,-4.180816709995269775e-01,-1.224990859627723694e-01
2.219161950051784515e-02,-4.503250122070312500e-01,-1.486404389142990112e-01
5.174331739544868469e-02,-4.505043029785156250e-01,-2.117507904767990112e-01
4.103546217083930969e-02,-4.806541502475738525e-01,-1.886604279279708862e-01
3.463440015912055969e-02,-4.826881587505340576e-01,-1.667663604021072388e-01
3.260116651654243469e-02,-4.449409544467926025e-01,-1.608436554670333862e-01
4.073638841509819031e-02,-4.638442993164062500e-01,-1.479225158691406250e-01
4.187316820025444031e-02,-4.706039428710937500e-01,-1.610832214355468750e-01
3.732681274414062500e-02,-4.713218808174133301e-01,-1.696373075246810913e-01
2.494354359805583954e-02,-4.727577269077301025e-01,-1.638351529836654663e-01
2.948989905416965485e-02,-4.612121582031250000e-01,-1.538444608449935913e-01
2.919082716107368469e-02,-4.554695188999176025e-01,-1.391883939504623413e-01
4.055709764361381531e-02,-4.549911618232727051e-01,-1.379325836896896362e-01
2.817459218204021454e-02,-4.497268795967102051e-01,-1.360183805227279663e-01
4.259109497070312500e-02,-4.591186642646789551e-01,-1.409233063459396362e-01
2.919158898293972015e-02,-4.347717463970184326e-01,-1.119110137224197388e-01
4.085617139935493469e-02,-4.301651120185852051e-01,-1.300361603498458862e-01
3.571167215704917908e-02,-4.435653686523437500e-01,-1.250114440917968750e-01
3.134460374712944031e-02,-4.621696472167968750e-01,-1.254898160696029663e-01
5.485382303595542908e-02,-4.704246520996093750e-01,-1.216018721461296082e-01
5.419616773724555969e-02,-4.414710998535156250e-01,-1.068855300545692444e-01
6.227188184857368469e-02,-4.578621089458465576e-01,-1.351211518049240112e-01
5.527267605066299438e-02,-4.686897397041320801e-01,-1.208236739039421082e-01
5.688781663775444031e-02,-4.475135803222656250e-01,-1.193885803222656250e-01
7.435607910156250000e-02,-4.761672914028167725e-01,-1.565963774919509888e-01
8.368759602308273315e-02,-4.770050048828125000e-01,-1.455299407243728638e-01
3.505401685833930969e-02,-4.598365724086761475e-01,-1.184905990958213806e-01
6.269073486328125000e-02,-4.524185359477996826e-01,-1.170547530055046082e-01
8.524322509765625000e-02,-4.531364440917968750e-01,-1.206443831324577332e-01
8.709716796875000000e-02,-4.965065121650695801e-01,-1.444526761770248413e-01
6.352844089269638062e-02,-5.030868649482727051e-01,-1.396080106496810913e-01
5.413665995001792908e-02,-4.658180177211761475e-01,-1.740638762712478638e-01
7.268066704273223877e-02,-4.563667476177215576e-01,-1.271644681692123413e-01
5.760574340820312500e-02,-4.716209471225738525e-01,-1.333862394094467163e-01
6.430587917566299438e-02,-4.409927427768707275e-01,-1.263870298862457275e-01
3.200302273035049438e-02,-4.642028808593750000e-01,-1.329673826694488525e-01
9.792480617761611938e-02,-4.723388850688934326e-01,-1.597068756818771362e-01
7.405624538660049438e-02,-4.431465268135070801e-01,-1.458885222673416138e-01
7.220230251550674438e-02,-4.435058534145355225e-01,-1.404449492692947388e-01
6.580124050378799438e-02,-4.693481624126434326e-01,-1.255500763654708862e-01
6.669845432043075562e-02,-4.893875122070312500e-01,-1.495971679687500000e-01
9.936065971851348877e-02,-4.661178588867187500e-01,-1.437950134277343750e-01
9.373779594898223877e-02,-4.394371211528778076e-01,-9.569931030273437500e-02
8.739624172449111938e-02,-4.558883607387542725e-01,-1.152008101344108582e-01
6.478424370288848877e-02,-4.692878723144531250e-01,-1.277031004428863525e-01
8.847351372241973877e-02,-4.886696040630340576e-01,-1.394882202148437500e-01
9.361801296472549438e-02,-4.919006526470184326e-01,-1.603050231933593750e-01
8.362808078527450562e-02,-4.558281004428863525e-01,-1.449913084506988525e-01
6.275024265050888062e-02,-4.547515809535980225e-01,-1.099960356950759888e-01
7.082595676183700562e-02,-4.633659422397613525e-01,-1.060485839843750000e-01
8.470459282398223877e-02,-4.767059385776519775e-01,-1.165168806910514832e-01
5.293960496783256531e-02,-4.826278686523437500e-01,-1.179519668221473694e-01
5.186310037970542908e-02,-4.808929562568664551e-01,-1.023391708731651306e-01
7.914123684167861938e-02,-4.847221374511718750e-01,-1.018608137965202332e-01
9.098587185144424438e-02,-4.675529599189758301e-01,-1.076034530997276306e-01
5.712738260626792908e-02,-4.506240785121917725e-01,-1.053306609392166138e-01
6.717758625745773315e-02,-4.640838801860809326e-01,-1.244728118181228638e-01
5.120544508099555969e-02,-4.639045894145965576e-01,-1.073043867945671082e-01
1.034286543726921082e-01,-4.862174987792968750e-01,-1.168754622340202332e-01
