x,y,z
4.103546217083930969e-02,-4.715614318847656250e-01,3.321456909179687500e-02
6.197280809283256531e-02,-4.729370176792144775e-01,-4.653930591302923858e-05
-5.744171328842639923e-03,-4.953102171421051025e-01,1.664428785443305969e-02
3.469467163085937500e-02,-4.741935729980468750e-01,1.299514807760715485e-02
4.277038574218750000e-02,-4.891487061977386475e-01,1.718216016888618469e-02
9.150695987045764923e-03,-4.829872250556945801e-01,8.089447394013404846e-03
2.948989905416965485e-02,-4.972244203090667725e-01,4.919433500617742538e-03
4.773559793829917908e-02,-5.014716982841491699e-01,2.609558217227458954e-02
2.506332471966743469e-02,-4.880722165107727051e-01,-5.789184477180242538e-03
2.392654493451118469e-02,-4.790390133857727051e-01,-3.007659874856472015e-02
2.661895751953125000e-02,-4.908828735351562500e-01,-1.063461322337388992e-02
1.890182495117187500e-02,-4.773643612861633301e-01,6.774139590561389923e-03
1.303939800709486008e-02,-4.764068722724914551e-01,1.598587073385715485e-02
3.826904343441128731e-03,-4.944725036621093750e-01,2.472000196576118469e-02
2.739639393985271454e-02,-5.047020316123962402e-01,-1.643676869571208954e-02
2.093582227826118469e-02,-5.131965875625610352e-01,4.261780064553022385e-03
1.920089684426784515e-02,-4.887893795967102051e-01,1.831893995404243469e-02
1.202240027487277985e-02,-4.916015565395355225e-01,3.800049051642417908e-02
3.559188917279243469e-02,-4.752700924873352051e-01,-1.853027381002902985e-02
5.258102342486381531e-02,-4.887298643589019775e-01,4.045257717370986938e-02
7.782516628503799438e-02,-4.875335693359375000e-01,5.002441629767417908e-02
4.211273416876792908e-02,-4.701851010322570801e-01,1.790008507668972015e-02
3.116531483829021454e-02,-4.655189514160156250e-01,2.454071119427680969e-02
1.022720336914062500e-02,-5.128372311592102051e-01,-3.378448635339736938e-02
6.633987277746200562e-02,-5.173240900039672852e-01,1.078186091035604477e-02
2.087631262838840485e-02,-5.212120413780212402e-01,-1.075363159179687500e-02
4.402694851160049438e-02,-5.246818661689758301e-01,4.775085672736167908e-02
1.758575439453125000e-02,-4.721595942974090576e-01,6.521835178136825562e-02
-1.316223200410604477e-02,-4.633659422397613525e-01,3.979492187500000000e-02
1.064605731517076492e-02,-4.587593078613281250e-01,2.848892286419868469e-02
-4.313278198242187500e-02,-5.067955255508422852e-01,2.759094350039958954e-02
-5.940322950482368469e-02,-5.063171386718750000e-01,1.610565185546875000e-02
-5.491714552044868469e-02,-4.803550839424133301e-01,5.720291286706924438e-02
-2.410888700978830457e-04,-4.680915772914886475e-01,3.297500684857368469e-02
4.043731838464736938e-02,-4.743133485317230225e-01,4.314498975872993469e-02
1.842346228659152985e-02,-5.297065973281860352e-01,4.242706298828125000e-02
2.314910851418972015e-02,-5.043434500694274902e-01,6.175994873046875000e-03
7.262039184570312500e-02,-5.070350766181945801e-01,-1.242828438989818096e-03
1.112518366426229477e-02,-5.261772274971008301e-01,9.645081125199794769e-03
2.751617506146430969e-02,-5.038040280342102051e-01,3.919677808880805969e-02
-2.165680006146430969e-02,-4.655189514160156250e-01,5.199813842773437500e-02
3.168487688526511192e-03,-4.963867366313934326e-01,2.824935875833034515e-02
4.318923875689506531e-02,-4.975830018520355225e-01,4.356384277343750000e-02
-6.179809861350804567e-05,-4.902847409248352051e-01,-4.711914341896772385e-03
1.961975172162055969e-02,-4.869354367256164551e-01,3.656463697552680969e-02
1.022796612232923508e-02,-4.970443844795227051e-01,-1.350555475801229477e-02
4.540252685546875000e-02,-4.474533200263977051e-01,2.316436730325222015e-02
7.164001581259071827e-04,-4.916008114814758301e-01,-2.853393671102821827e-04
2.069625817239284515e-02,-5.000358819961547852e-01,-5.250549409538507462e-03
-1.555480994284152985e-02,-4.951309263706207275e-01,-1.009597815573215485e-02
-5.924224853515625000e-03,-5.110427737236022949e-01,-4.711914341896772385e-03
-5.078964307904243469e-02,-5.332359671592712402e-01,-1.679611206054687500e-02
3.355789184570312500e-02,-4.837051331996917725e-01,-5.490112584084272385e-03
-6.103515625000000000e-03,-5.179222226142883301e-01,-2.385482750833034515e-02
1.489334087818861008e-02,-4.875328242778778076e-01,2.160949818789958954e-02
-5.863952916115522385e-03,-4.617508053779602051e-01,-4.891205113381147385e-03
4.007873684167861938e-02,-4.698860347270965576e-01,-1.829147338867187500e-02
-5.744934082031250000e-03,-4.719803035259246826e-01,1.640472374856472015e-02
2.925109863281250000e-02,-4.853195250034332275e-01,1.796035841107368469e-02
6.310959160327911377e-02,-4.848411679267883301e-01,8.269500918686389923e-03
-2.275085542351007462e-03,-5.005142092704772949e-01,1.724243164062500000e-02
3.080673329532146454e-02,-4.987792968750000000e-01,6.235504057258367538e-03
-1.029052771627902985e-02,-4.535553157329559326e-01,-6.686401553452014923e-03
-5.808792263269424438e-02,-4.795173704624176025e-01,-1.871650665998458862e-01
-1.202545221894979477e-02,-4.675529599189758301e-01,-1.075439453125000000e-01
1.902160607278347015e-02,-5.201355218887329102e-01,-1.315315216779708862e-01
7.356262300163507462e-03,-5.352699160575866699e-01,-1.369758695363998413e-01
-1.417922973632812500e-02,-5.264167785644531250e-01,-1.656295806169509888e-01
2.165374718606472015e-02,-5.222892761230468750e-01,-6.166153028607368469e-02
-1.138305640779435635e-03,-4.374633729457855225e-01,-6.638717651367187500e-02
-6.981201469898223877e-02,-3.283508419990539551e-01,1.449584960937500000e-03
1.203575134277343750e-01,-3.498863279819488525e-01,-4.993667826056480408e-02
