x,y,z
2.787475660443305969e-02,-4.782012999057769775e-01,-1.035354658961296082e-01
2.943038940429687500e-02,-4.499061703681945801e-01,-2.684555016458034515e-02
1.567154005169868469e-02,-4.724586606025695801e-01,-7.871017605066299438e-02
4.277038574218750000e-02,-4.860977232456207275e-01,-6.136245653033256531e-02
3.696823120117187500e-02,-4.884903132915496826e-01,-9.689559787511825562e-02
5.838394165039062500e-02,-4.960876405239105225e-01,-1.101760864257812500e-01
6.508331745862960815e-02,-4.705444276332855225e-01,-1.039543151855468750e-01
7.022781670093536377e-02,-4.502647519111633301e-01,-1.050315871834754944e-01
4.091644287109375000e-02,-4.858581721782684326e-01,-8.469238132238388062e-02
3.361816331744194031e-02,-4.997367858886718750e-01,-1.110130324959754944e-01
3.816452249884605408e-02,-4.990188777446746826e-01,-1.102951094508171082e-01
4.516372829675674438e-02,-4.817901551723480225e-01,-4.168090969324111938e-02
6.939011067152023315e-02,-4.807739257812500000e-01,-2.319335937500000000e-03
8.009872585535049438e-02,-4.603744447231292725e-01,-1.625747792422771454e-02
6.023788452148437500e-02,-4.560676515102386475e-01,-1.924820058047771454e-02
5.383758619427680969e-02,-4.739540219306945801e-01,-8.881988376379013062e-02
6.484451144933700562e-02,-4.610328674316406250e-01,-5.831146240234375000e-02
-1.078796456567943096e-03,-4.628272950649261475e-01,-7.661666721105575562e-02
1.065986678004264832e-01,-5.375434756278991699e-01,-8.239746093750000000e-04
7.632980495691299438e-02,-5.539337396621704102e-01,-4.323654249310493469e-02
1.205368041992187500e-01,-5.073936581611633301e-01,-1.062278747558593750e-01
-1.884536817669868469e-02,-4.925583004951477051e-01,-1.044929549098014832e-01
-1.758880726993083954e-02,-4.116806089878082275e-01,3.752136230468750000e-02
1.082611083984375000e-02,-4.341735839843750000e-01,-7.631760090589523315e-02
7.116699125617742538e-03,-4.470947384834289551e-01,-1.068260222673416138e-01
1.381683349609375000e-02,-4.709632992744445801e-01,-6.118240579962730408e-02
-1.388015784323215485e-02,-4.974037110805511475e-01,-9.438323788344860077e-03
6.011810526251792908e-02,-5.047615170478820801e-01,-3.605804592370986938e-02
-1.136779785156250000e-02,-5.475937128067016602e-01,-3.025512769818305969e-02
5.946044996380805969e-02,-5.072738528251647949e-01,-1.278762798756361008e-02
-5.445098970085382462e-03,-4.953102171421051025e-01,-1.990661583840847015e-02
2.219238318502902985e-02,-4.598960876464843750e-01,-6.638717651367187500e-02
2.955017052590847015e-02,-4.295669496059417725e-01,-6.213989481329917908e-02
4.067688062787055969e-02,-4.509231746196746826e-01,-6.393432617187500000e-02
-2.633667085319757462e-03,-4.543929994106292725e-01,-7.619781792163848877e-02
-8.197021670639514923e-03,-4.880119264125823975e-01,-8.881988376379013062e-02
-5.252456665039062500e-02,-4.935753047466278076e-01,-9.821166843175888062e-02
-1.429901178926229477e-02,-4.895072877407073975e-01,-9.306716918945312500e-02
-6.927414238452911377e-02,-4.463165402412414551e-01,9.944153018295764923e-03
-1.190567016601562500e-02,-4.914817810058593750e-01,-4.754333570599555969e-02
-5.401611560955643654e-04,-4.807136654853820801e-01,-5.986633524298667908e-02
-5.180663987994194031e-02,-4.831665158271789551e-01,-3.127212449908256531e-02
-6.223297212272882462e-03,-4.597167968750000000e-01,-3.210983425378799438e-02
