x,y,z
4.079666361212730408e-02,-4.327972531318664551e-01,-1.325485259294509888e-01
8.672333322465419769e-03,-4.776626527309417725e-01,-1.150215193629264832e-01
4.163360595703125000e-02,-5.127174258232116699e-01,-7.254868000745773315e-02
2.302932739257812500e-02,-5.337745547294616699e-01,-6.806259602308273315e-02
3.565216064453125000e-02,-4.941139221191406250e-01,-3.545990213751792908e-02
6.697845645248889923e-03,-4.855590760707855225e-01,4.577636718750000000e-02
4.061660915613174438e-02,-4.713813960552215576e-01,-8.140182495117187500e-02
6.040191743522882462e-03,-4.824485778808593750e-01,-6.866073608398437500e-02
3.930053859949111938e-02,-4.731765687465667725e-01,-5.149154737591743469e-02
1.018730178475379944e-01,-4.792183041572570801e-01,-7.171096652746200562e-02
2.002784758806228638e-01,-4.783210754394531250e-01,-3.210983425378799438e-02
2.115837186574935913e-01,-5.215110778808593750e-01,-4.030532762408256531e-02
2.464592009782791138e-01,-5.267158746719360352e-01,-5.861053615808486938e-02
1.965690702199935913e-01,-4.767654538154602051e-01,-1.727447472512722015e-02
1.785034239292144775e-01,-4.439239501953125000e-01,2.160949818789958954e-02
1.631294339895248413e-01,-4.417709410190582275e-01,-1.871032826602458954e-02
1.048645004630088806e-01,-4.418907165527343750e-01,-3.701477125287055969e-02
1.214942932128906250e-01,-4.984207153320312500e-01,-4.227981716394424438e-02
1.116836592555046082e-01,-4.594772458076477051e-01,-1.146621704101562500e-01
-2.334594726562500000e-03,-4.919601380825042725e-01,-9.396439045667648315e-02
-4.953308030962944031e-02,-4.762870967388153076e-01,-9.043502807617187500e-02
-6.712036579847335815e-02,-4.636650085449218750e-01,-4.868011549115180969e-02
-7.160720974206924438e-02,-4.723388850688934326e-01,-1.294380277395248413e-01
-7.525558769702911377e-02,-4.230468869209289551e-01,-1.553405821323394775e-01
-7.591400295495986938e-02,-4.187996089458465576e-01,-1.424194425344467163e-01
-6.843643635511398315e-02,-4.488296508789062500e-01,-1.489395201206207275e-01
-1.296333372592926025e-01,-4.258583188056945801e-01,-1.009635925292968750e-01
-1.153953596949577332e-01,-4.824485778808593750e-01,-1.311126798391342163e-01
-9.679108113050460815e-02,-4.974037110805511475e-01,-2.189292907714843750e-01
-1.111480742692947388e-01,-4.908233582973480225e-01,-1.643737852573394775e-01
-8.811721950769424438e-02,-4.761672914028167725e-01,-1.479225158691406250e-01
-6.209564208984375000e-02,-4.281913936138153076e-01,-2.140243500471115112e-01
